DateTime,Value_USD,TxnFee(USD),Percent_Change
2022-02-09,172.29008852927177,29.672179007154842,
2022-02-10,157.2183677062819,17.887494583270875,-0.08747874559498658
2022-02-11,81.14941935483871,9.21484457947005,-0.4838426289576834
2022-02-12,0.5665237388724036,3.977345093907773,-0.9930187579482832
2022-02-13,3.97746875,3.6054897559122643,6.020833333333333
2022-02-14,5.6708465346534656,3.1102893190548215,0.4257425742574259
2022-02-15,4.980482608695652,4.158138357304144,-0.12173913043478257
2022-02-16,96.63775925925925,4.712342901679047,18.403292181069958
2022-02-17,112.00552,3.0436249059797946,0.15902439024390258
2022-02-18,20.234840909090906,6.010549621389268,-0.8193406815209563
2022-02-19,0.0,3.478849209645623,-1.0
2022-02-20,0.0,2.8270859325046422,
2022-02-21,9.069214285714285,5.726268193180242,inf
2022-02-22,0.0,5.680525003760328,-1.0
2022-02-23,0.0,4.309486894711986,
2022-02-24,0.0,6.155233978363833,
2022-02-25,11.203147058823529,3.9538597134857287,inf
2022-02-26,0.0,2.4837415262475937,-1.0
2022-02-27,0.0,3.498543780055393,
2022-02-28,0.0,3.9440118183302983,
2022-03-01,0.0,3.636019585668833,
2022-03-02,0.0,4.440711599949091,
2022-03-03,0.0,3.9703006435625783,
2022-03-04,0.0,2.411709500439957,
2022-03-05,0.0,2.880582409609309,
2022-03-06,0.0,2.168763635971768,
2022-03-07,0.0,3.0683548250145267,
2022-03-08,0.0,2.301259846780243,
2022-03-09,0.0,2.2469416382989746,
2022-03-10,0.0,2.194935320344207,
2022-03-11,0.0,1.897093914890703,
2022-03-12,0.0,2.461825955054227,
2022-03-13,0.0,1.9777066018513922,
2022-03-14,0.0,2.7510343839751816,
2022-03-15,0.0,1.790565311939461,
2022-03-16,10.023868421052631,2.297649191823771,inf
2022-03-17,0.0,2.7424421496778204,-1.0
2022-03-18,0.0,3.8897653658848896,
2022-03-19,0.0,1.6653176427835787,
2022-03-20,0.0,2.9552686303306466,
2022-03-21,0.0,2.40646196669947,
2022-03-22,0.0,2.3597426896414824,
2022-03-23,0.0,3.255108717203061,
2022-03-24,0.0,3.0684127447258946,
2022-03-25,0.0,4.037309026330392,
2022-03-26,0.0,2.411619171965022,
2022-03-27,0.0,1.8694424061134762,
2022-03-28,0.0,3.3096175948677766,
2022-03-29,0.0,2.3751700931040123,
2022-03-30,0.0,3.844013865376025,
2022-03-31,0.0,3.43728209845132,
2022-04-01,0.0,4.141079890170757,
2022-04-02,0.0,3.14084995757736,
2022-04-03,0.0,3.9956212760026837,
2022-04-04,0.0,4.03046452635789,
2022-04-05,0.0,6.154251308960335,
2022-04-06,0.0,5.235264712246285,
2022-04-07,0.0,3.03587102356369,
2022-04-08,0.0,4.107578933363585,
2022-04-09,0.0,2.879655710883982,
2022-04-10,0.0,3.1329788865158656,
2022-04-11,0.0,3.667510891776917,
2022-04-12,0.0,3.094524156026008,
2022-04-13,0.0,2.4363938384209787,
2022-04-14,0.0,2.892920994755727,
2022-04-15,0.0,2.3713074278532886,
2022-04-16,0.0,2.7776614025989033,
2022-04-17,0.0,1.9031579991588592,
2022-04-18,0.0,2.809159850451297,
2022-04-19,0.0,2.50345342380681,
2022-04-20,0.0,8.747351293823892,
2022-04-21,0.0,5.306343083697054,
2022-04-22,0.0,4.008459650081182,
2022-04-23,0.0,2.5903338218213663,
2022-04-24,0.0,1.2735103889539148,
2022-04-25,0.0,4.14378015961297,
2022-04-26,0.0,3.437273754812108,
2022-04-27,0.0,2.45759757090543,
2022-04-28,0.0,5.082659182535507,
2022-04-29,0.0,3.3632458048538654,
2022-04-30,0.0,3.7495359928378265,
2022-05-01,0.0,216.1635157320902,
2022-05-02,0.0,11.315651995293697,
2022-05-03,0.0,7.845337952321813,
2022-05-04,0.0,3.9843194266440713,
2022-05-05,0.0,4.110144942506587,
2022-05-06,0.0,3.062773306942178,
2022-05-07,0.0,2.2460903633696856,
2022-05-08,0.0,0.9578794915735157,
2022-05-09,0.0,3.6917893284279595,
2022-05-10,0.0,2.6650574614936935,
2022-05-11,0.0,4.650761672424315,
2022-05-14,0.0,2.0216939694255975,
2022-05-15,0.0,2.1100076666140497,
2022-05-16,0.0,1.4303061982621799,
2022-05-17,0.0,2.14192785854075,
2022-05-18,0.0,2.2941413972018467,
2022-05-19,0.0,1.783720841168195,
2022-05-21,0.0,1.3604279570671383,
2022-05-22,0.0,2.4068415306760276,
2022-05-23,0.0,3.57976326472943,
2022-05-24,0.0,4.003243356525842,
2022-05-25,0.0,1.4296671571125863,
2022-05-26,0.0,3.3058639498715348,
2022-05-27,0.0,1.99757024658814,
2022-05-28,0.0,1.2664181631669,
2022-05-29,0.0,1.4224933653782572,
2022-05-30,0.0,3.789437204069413,
2022-05-31,0.0,2.9327629407918927,
2022-06-01,0.0,7.1057385152791595,
2022-06-03,0.0,4.835969096684237,
2022-06-04,0.0,4.6025530380114965,
2022-06-05,0.0,2.6946285739158347,
2022-06-06,0.0,2.784860674601349,
2022-06-07,0.0,2.50227148927284,
2022-06-08,0.0,4.122412560119923,
2022-06-09,0.0,4.05830401069263,
2022-06-10,0.0,7.0409540426682,
2022-06-11,0.0,3.0705185008341953,
2022-06-12,0.0,3.1000027329946582,
2022-06-13,0.0,3.42428542629665,
2022-06-14,0.0,2.11116094847932,
2022-06-15,0.0,1.76063896464169,
2022-06-16,0.0,3.681505966091027,
2022-06-17,0.0,2.1742711426881076,
2022-06-18,0.0,5.9593853942795585,
2022-06-19,0.0,1.965157592025724,
2022-06-20,0.0,1.4723223428705234,
2022-06-21,0.0,2.304136084442316,
2022-06-22,0.0,2.2292572164104203,
2022-06-23,0.0,3.747240475200474,
2022-06-24,0.0,2.2239589954520196,
2022-06-25,0.0,2.682983133466086,
2022-06-26,0.0,1.5048204567358883,
2022-06-27,0.0,4.535193206579367,
2022-06-28,0.0,3.2029519534601176,
2022-06-29,0.0,2.712237696632005,
2022-06-30,0.0,2.8009744336658073,
2022-07-01,0.0,1.45059043018765,
2022-07-02,0.0,1.6912847404387041,
2022-07-03,0.0,1.111514282126279,
2022-07-04,0.0,1.2238282406636285,
2022-07-05,0.0,1.3883647760781381,
2022-07-06,0.0,3.178971060247015,
2022-07-07,0.0,1.0978566468931903,
2022-07-08,0.0,1.5582321889371482,
2022-07-09,0.0,0.6290605521593567,
2022-07-10,0.0,0.7269584161603638,
2022-07-11,0.0,1.3333038963706858,
2022-07-12,0.0,1.0946936940323795,
2022-07-13,0.0,1.1779695127493086,
2022-07-14,0.0,1.3975266303550054,
2022-07-15,0.0,1.4878824550614265,
2022-07-16,0.0,0.7200660403478758,
2022-07-17,0.0,0.8858185654640676,
2022-07-18,0.0,1.3666117869405163,
2022-07-19,0.0,1.327945496655647,
2022-07-20,0.0,1.1907703373958665,
2022-07-21,0.0,0.6510053909210551,
2022-07-22,0.0,0.7055835888837888,
2022-07-23,0.0,0.9552622811085318,
2022-07-24,0.0,0.43406821546339674,
2022-07-25,0.0,0.5032832483883352,
2022-07-26,0.0,1.83588371096827,
2022-07-27,0.0,0.637282722550288,
2022-07-28,0.0,1.0851815978109063,
2022-07-29,0.0,0.9423416467074515,
2022-07-30,0.0,0.3703890181166585,
2022-07-31,0.0,0.5632494977909257,
2022-08-01,0.0,0.6043034534254134,
2022-08-02,0.0,1.547946350997895,
2022-08-03,0.0,0.577123370341444,
2022-08-04,0.0,0.46432902488758504,
2022-08-05,0.0,0.5107941001310966,
2022-08-06,0.0,0.5445597242876792,
2022-08-07,0.0,0.6225531546449615,
2022-08-08,0.0,1.1771322409871348,
2022-08-10,0.0,0.530306413471478,
2022-08-11,0.0,3.00755452274461,
2022-08-12,0.0,1.306476348245115,
2022-08-13,0.0,0.5412089571570774,
2022-08-14,0.0,0.7828382200533343,
2022-08-15,0.0,1.4897362250797916,
2022-08-18,0.0,0.5761870690329141,
2022-08-19,0.0,1.8936349083401867,
2022-08-20,0.0,0.5314560570629165,
2022-08-21,0.0,0.33432163993264197,
2022-08-23,0.0,0.6773256019468811,
2022-08-24,0.0,1.05908141174603,
2022-08-25,0.0,0.7589456419746625,
2022-08-28,0.0,0.432088809262425,
2022-08-30,0.0,1.1727480822319065,
2022-08-31,0.0,0.9407947183685303,
2022-09-01,0.0,0.99853438618843,
2022-09-03,0.0,0.486157163652173,
2022-09-04,0.0,0.44096547378033796,
2022-09-06,0.0,1.2762486865688925,
2022-09-07,0.0,2.11901821845953,
2022-09-08,0.0,1.86317430144324,
2022-09-09,0.0,1.53459869447278,
2022-09-10,0.0,0.651706257853235,
2022-09-11,0.0,1.0223155406549855,
2022-09-12,0.0,0.428405492231955,
2022-09-13,0.0,0.5048419771427379,
2022-09-14,0.0,0.777920333438307,
2022-09-16,0.0,0.34126603421971624,
2022-09-17,0.0,0.3592150413560062,
2022-09-18,0.0,0.366070138986465,
2022-09-19,0.0,0.9565531760386985,
2022-09-21,0.0,0.6034400962598929,
2022-09-22,0.0,0.610924680953736,
2022-09-23,0.0,0.42267307894413053,
2022-09-25,0.0,0.571716420235284,
2022-09-26,0.0,0.700744933641879,
2022-09-27,0.0,0.8156845944296075,
2022-09-28,0.0,0.7480878794388875,
2022-09-30,0.0,0.690550511749147,
2022-10-02,0.0,0.407697942248242,
2022-10-03,0.0,0.21974985261553168,
2022-10-04,0.0,0.630952759276296,
2022-10-08,0.0,0.393133691433437,
2022-10-09,0.0,1.531373542558985,
2022-10-10,0.0,3.84287154883528,
2022-10-11,0.0,8.90969231868998,
2022-10-12,0.0,1.100745216706242,
2022-10-13,0.0,0.775665126911284,
2022-10-15,0.0,0.476115512454886,
2022-10-16,0.0,1.576196408364566,
2022-10-17,0.0,1.1901449891212026,
2022-10-19,0.0,1.29299784715074,
2022-10-20,0.0,1.5970914104662775,
2022-10-22,0.0,0.9130496384565189,
2022-10-23,0.0,0.9787815429731825,
2022-10-24,0.0,1.84901481022547,
2022-10-26,0.0,1.40106202427838,
2022-10-27,0.0,0.5425149615285976,
2022-10-28,0.0,0.774907588953818,
2022-10-29,0.0,1.05352223396004,
2022-10-30,0.0,0.24788800475134,
2022-11-01,0.0,0.7456412692060106,
2022-11-04,0.0,1.40176387926634,
2022-11-06,0.0,0.6182901810338454,
2022-11-07,0.0,1.29098502801124,
2022-11-08,0.0,2.2202686417747506,
2022-11-17,0.0,1.0036049933268494,
2022-11-18,0.0,0.929791937945234,
2022-11-20,0.0,0.6267638615525016,
2022-11-23,0.0,0.753115128815117,
2022-11-24,0.0,0.710280437077692,
2022-11-26,0.0,0.701335016592139,
2022-11-27,0.0,1.21609828215199,
2022-11-30,0.0,1.52023355160818,
2022-12-01,0.0,0.688331554200243,
2022-12-02,0.0,0.7227514216359852,
2022-12-03,0.0,0.983815613075551,
2022-12-08,0.0,1.27665081245262,
